Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
MMP9	CLG4B	ENSG00000100985	"Matrix metallopeptidase 9"	P14780	20	46008908-46016561	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	12	"bone marrow: 372.5;lymphoid tissue: 102.8"	"Group enriched"	"Detected in many"	10	"Hofbauer cells: 223.7;Langerhans cells: 692.8;Macrophages: 337.1"	"Low cancer specificity"	"Detected in all"			"Region enhanced"	"Detected in many"		"thalamus: 10.9"	"Immune cell enriched"	"Detected in some"	127	"neutrophil: 272.9"	"Lineage enriched"	"Detected in single"	342	"granulocytes: 272.9"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 11.3"	"Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Skeletal muscle - Neutrophils"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"CAB000348, HPA001238, HPA063909, CAB068199, CAB068200, CAB068201"	Enhanced		Approved	Cytosol	"Secreted to blood"	Enzyme	NA	NA	43300000	61000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 58: Macrophages - Innate immune response"	3	Cytosol		"CAB000348: , CAB068199: AB_2665675, CAB068200: AB_2665676, CAB068201: AB_2665677, HPA001238: AB_1079398, HPA063909: AB_2685150"	"unprognostic (4.62e-2)"	"unprognostic (1.64e-1)"	"unprognostic (2.85e-2)"	"prognostic favorable (2.55e-4)"	"unprognostic (6.65e-3)"	"unprognostic (2.82e-1)"	"prognostic unfavorable (7.19e-4)"	"unprognostic (1.54e-1)"	"unprognostic (8.57e-2)"	"unprognostic (3.21e-2)"	"unprognostic (4.15e-2)"	"unprognostic (1.96e-1)"	"prognostic unfavorable (4.05e-5)"	"unprognostic (4.65e-1)"	"unprognostic (9.85e-3)"	"unprognostic (2.48e-2)"	"unprognostic (2.17e-3)"
MMRN1	"ECM, EMILIN4, GPIa*, MMRN"	ENSG00000138722	"Multimerin 1"	Q13201	4	89879532-89954629	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enriched"	"Detected in many"	7	"Lymphatic endothelial cells: 1678.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	9	"NK-cell: 6.3;plasmacytoid DC: 2.2"	"Group enriched"	"Detected in many"	9	"dendritic cells: 2.2;NK-cells: 6.3"	"Cancer enhanced"	"Detected in some"		"Leukemia: 17.0;Rhabdoid: 13.3"	"Liver - Vascular Endothelial cells, Prostate - Endothelial cells, Skin - Macrophages, Testis - Early spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA035769	Enhanced		Approved	"Endoplasmic reticulum"	"Secreted to extracellular matrix"	"No annotated function"	NA	NA		200000000	"Cluster 14: Non-specific - Unknown function"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 44: Non-specific - Mixed function"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"		"Endoplasmic reticulum"		"HPA035769: AB_10696511"	"unprognostic (1.15e-1)"	"unprognostic (1.81e-2)"	"unprognostic (1.23e-1)"	"unprognostic (2.41e-1)"	"unprognostic (2.11e-1)"	"unprognostic (7.05e-3)"	"unprognostic (1.62e-3)"	"unprognostic (1.91e-1)"	"unprognostic (1.88e-1)"	"unprognostic (2.12e-1)"	"unprognostic (9.71e-3)"	"unprognostic (1.18e-1)"	"prognostic unfavorable (1.77e-4)"	"prognostic unfavorable (5.46e-4)"	"unprognostic (2.14e-1)"	"unprognostic (1.36e-1)"	"unprognostic (2.23e-2)"
MMRN2	"EMILIN3, EndoGlyx-1, FLJ13465"	ENSG00000173269	"Multimerin 2"	Q9H8L6	10	86935540-86969481	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	Angiogenesis			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Group enriched"	"Detected in many"	8	"Adipocytes: 217.5;Endothelial cells: 133.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Stomach - Endothelial cells, Testis - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA020741			Approved	Vesicles	"Secreted to extracellular matrix"	"Developmental protein"	NA	NA		84000000		"Cluster 7: Adipose tissue - Mixed function"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"		Vesicles		"HPA020741: AB_1848154"	"unprognostic (4.17e-1)"	"unprognostic (7.87e-2)"	"unprognostic (6.67e-3)"	"unprognostic (3.30e-1)"	"unprognostic (1.73e-1)"	"unprognostic (2.08e-2)"	"unprognostic (1.75e-3)"	"unprognostic (1.43e-1)"	"unprognostic (2.09e-2)"	"unprognostic (3.11e-2)"	"unprognostic (1.81e-2)"	"unprognostic (1.34e-1)"	"unprognostic (6.17e-3)"	"unprognostic (1.54e-3)"	"unprognostic (1.25e-1)"	"unprognostic (6.44e-2)"	"unprognostic (1.66e-1)"
MPEG1	MPG1	ENSG00000197629	"Macrophage expressed 1"	Q2M385	11	59208510-59212927	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Immunity, Innate immunity"	"Antibiotic, Antimicrobial"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 200.1"	"Cell type enhanced"	"Detected in some"		"dendritic cells: 324.9;Hofbauer cells: 102.7;Kupffer cells: 424.4;Macrophages: 187.8;monocytes: 240.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	6	"classical monocyte: 289.4;intermediate monocyte: 209.0;myeloid DC: 144.2;non-classical monocyte: 245.5;plasmacytoid DC: 204.5"	"Group enriched"	"Detected in many"	6	"dendritic cells: 204.5;monocytes: 289.4"	"Group enriched"	"Detected in some"	237	"Leukemia: 10.4;lymphoma: 36.9"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Liver - Kupffer cells, Lung - Macrophages, Pancreas - Macrophages, Skeletal muscle - Macrophages, Stomach - Macrophages, Testis - Macrophages, Thyroid - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA046801	Approved				"Secreted to blood"	Immunity	NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 55: Lymphoma - Immune response"	"Cluster 29: Monocytes - Innate immune response"				"HPA046801: AB_2679814"	"unprognostic (1.24e-1)"	"unprognostic (2.17e-3)"	"unprognostic (1.05e-2)"	"unprognostic (2.00e-2)"	"unprognostic (3.38e-2)"	"unprognostic (2.79e-3)"	"unprognostic (7.82e-2)"	"unprognostic (1.41e-2)"	"unprognostic (6.23e-2)"	"unprognostic (2.76e-1)"	"unprognostic (5.48e-2)"	"unprognostic (3.51e-1)"	"unprognostic (1.48e-1)"	"unprognostic (9.38e-2)"	"unprognostic (2.48e-2)"	"unprognostic (1.76e-1)"	"unprognostic (5.86e-2)"
MSMB	"IGBF, MSP, MSPB, PN44, PRPS, PSP, PSP-94, PSP57, PSP94"	ENSG00000263639	"Microseminoprotein beta"	P08118	10	46033307-46048180	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	17	"prostate: 9036.6"	"Cell type enriched"	"Detected in many"	11	"Prostatic glandular cells: 29753.7"	"Cancer enriched"	"Detected in many"	42	"prostate cancer: 3435.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	18	"prostate cancer: 295.9"	"Lung - Respiratory ciliated cells, Prostate - Prostate glandular cells, Stomach - Gastric mucous cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB026357, HPA051257"	Enhanced				"Secreted in male reproductive system"	"No annotated function"	NA	NA		6000000		"Cluster 64: Neuronal - Transcription"		"Cluster 60: Prostate cancer - Unknown function"	"Cluster 40: Prostatic glandular cells - Transcription"	1			"CAB026357: , HPA051257: AB_2681410"	"unprognostic (6.47e-2)"	"unprognostic (7.21e-3)"		"unprognostic (1.37e-2)"		"unprognostic (8.18e-3)"	"unprognostic (4.28e-3)"	"unprognostic (9.24e-3)"	"unprognostic (1.66e-1)"	"unprognostic (8.66e-2)"	"unprognostic (2.01e-1)"	"unprognostic (4.55e-2)"		"unprognostic (2.01e-1)"	"unprognostic (7.04e-2)"	"unprognostic (1.39e-1)"	"prognostic favorable (7.19e-4)"
MSMP	"PC-3, PSMP"	ENSG00000215183	"Microseminoprotein, prostate associated"	Q1L6U9	9	35752990-35756613	"Predicted intracellular proteins, Predicted secreted proteins"	"Chemotaxis, Inflammatory response"	Cytokine		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 3.2;pituitary gland: 1.5;placenta: 1.2"	"Cell type enriched"	"Detected in some"	8	"Late spermatids: 200.0"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	13	"prostate cancer: 70.9"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA055174	Uncertain		Supported	Vesicles,Cytosol	"Secreted in other tissues"	Cytokine	No	No		30000	"Cluster 41: Basophils - Unknown function"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 11: Late spermatids - Unknown function"		Vesicles	Cytosol	"HPA055174: AB_2682726"																	
MST1	"D3F15S2, DNF15S2, HGFL, MSP, NF15S2"	ENSG00000173531	"Macrophage stimulating 1"		3	49683947-49689501	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"			"Tissue enriched"	"Detected in all"	10	"liver: 905.4"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 196.0;Mesothelial cells: 44.6;Proximal enterocytes: 54.0;Proximal tubular cells: 42.5"	"Cancer enriched"	"Detected in many"	7	"liver cancer: 42.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Skeletal muscle - Fibroblasts"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA024036, HPA068514, CAB080358"	Approved		Approved	Vesicles	"Secreted to blood"		NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 15: Non-specific - Transcription"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"		Vesicles		"CAB080358: , HPA024036: AB_1854147, HPA068514: "	"unprognostic (5.13e-3)"	"unprognostic (1.45e-1)"	"unprognostic (1.58e-1)"	"unprognostic (1.04e-1)"	"unprognostic (1.83e-1)"	"unprognostic (2.00e-2)"	"unprognostic (1.16e-2)"	"unprognostic (9.42e-3)"	"unprognostic (8.24e-2)"	"unprognostic (2.97e-1)"	"prognostic favorable (7.14e-4)"	"unprognostic (3.07e-2)"	"unprognostic (1.57e-2)"	"unprognostic (1.11e-1)"	"unprognostic (2.48e-1)"	"unprognostic (8.03e-2)"	"unprognostic (1.68e-3)"
MSTN	GDF8	ENSG00000138379	Myostatin	O14793	2	190055700-190062729	"Disease related genes, Human disease related genes, Predicted secreted proteins"		"Cytokine, Growth factor, Heparin-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"skeletal muscle: 9.7;tongue: 14.7"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 19.4;Late spermatids: 7.1;Muller glia cells: 17.2;Schwann cells: 4.0;Skeletal myocytes: 3.9"	"Cancer enriched"	"Detected in some"	9	"glioma: 6.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"Sarcoma: 18.2"	"Colon - Enteric glia cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			CAB009963	Approved				"Secreted in other tissues"	Cytokine	NA	NA		7600000		"Cluster 3: Non-specific - Unknown function"	"Cluster 31: Non-specific - Transcription"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 53: Fibroblasts - ECM organization"	4			"CAB009963: AB_2148798"	"unprognostic (8.45e-2)"	"unprognostic (2.84e-2)"	"unprognostic (3.52e-2)"	"unprognostic (2.54e-1)"	"prognostic favorable (2.86e-4)"	"unprognostic (7.59e-3)"	"unprognostic (2.95e-1)"	"unprognostic (4.09e-2)"	"unprognostic (1.91e-1)"	"unprognostic (2.19e-1)"	"unprognostic (1.24e-3)"	"unprognostic (7.72e-3)"	"unprognostic (1.12e-4)"	"unprognostic (1.06e-1)"	"unprognostic (3.94e-1)"	"unprognostic (6.53e-2)"	"unprognostic (5.67e-4)"
MUC1	"ADMCKD, ADMCKD1, Ca15-3, CD227, EMA, KL-6, MCD, MCKD, MCKD1, PEM, PUM"	ENSG00000185499	"Mucin 1, cell surface associated"	P15941	1	155185824-155192916	"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"			"Cancer-related genes, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 419.1;stomach 1: 862.1"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 963.7;Alveolar cells type 2: 1456.7;Exocrine glandular cells: 951.7;Gastric mucus-secreting cells: 572.5;Ionocytes: 447.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"T-reg: 1.2"	"Lineage enhanced"	"Detected in single"		"T-cells: 1.2"	"Cancer enhanced"	"Detected in all"		"breast cancer: 211.1;pancreatic cancer: 218.2"	"Adipose visceral - Mesothelial cells, Breast - Breast glandular cells, Colon - Mitotic cells (Colon), Lung - Alveolar cells type 2, Skin - Sebaceous gland cells, Stomach - Gastric mucous cells, Testis - Early spermatids, Testis - Late spermatids"					"Low region specificity"	"Detected in many"			"CAB000036, CAB001986, HPA004179, HPA007235, HPA008855, CAB080102, CAB080103"	Enhanced		Supported	"Plasma membrane"	"Secreted in other tissues"	"No annotated function"	NA	NA		4000000	"Cluster 5: Non-specific - Cell proliferation"	"Cluster 48: Stomach - Proteolysis"	"Cluster 44: Non-specific - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"	4	"Plasma membrane"		"CAB000036: AB_2148557, CAB001986: , CAB080102: , CAB080103: , HPA004179: AB_1846282, HPA007235: AB_1846281, HPA008855: AB_1846283"	"unprognostic (4.74e-2)"	"unprognostic (2.84e-2)"	"unprognostic (2.19e-1)"	"unprognostic (8.01e-2)"	"unprognostic (1.32e-2)"	"unprognostic (1.70e-1)"	"unprognostic (2.61e-3)"	"unprognostic (6.34e-2)"	"unprognostic (1.43e-1)"	"unprognostic (3.23e-1)"	"prognostic unfavorable (4.60e-4)"	"unprognostic (4.75e-1)"	"unprognostic (2.05e-2)"	"unprognostic (1.13e-1)"	"unprognostic (8.12e-2)"	"unprognostic (1.42e-1)"	"unprognostic (1.21e-1)"
MUC13	DRCC1	ENSG00000173702	"Mucin 13, cell surface associated"	Q9H3R2	3	124905442-124953819	"Predicted membrane proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	10	"intestine: 597.4"	"Cell type enhanced"	"Detected in some"		"Distal enterocytes: 500.9;Enteroendocrine cells: 161.4;Intestinal goblet cells: 447.1;Paneth cells: 323.4;Proximal enterocytes: 400.7"	"Cancer enhanced"	"Detected in many"		"colorectal cancer: 198.4;stomach cancer: 152.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"colorectal cancer: 178.0;Gastric cancer: 65.7"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Stomach - Gastric mucous cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA045163, HPA079663"	Enhanced				"Secreted to digestive system"	"No annotated function"	NA	NA				"Cluster 25: Small intestine - Absorption"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"				"HPA045163: AB_10960396, HPA079663: "	"unprognostic (8.42e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.77e-1)"	"unprognostic (1.55e-3)"	"unprognostic (2.93e-1)"	"unprognostic (2.11e-2)"	"unprognostic (1.26e-1)"	"unprognostic (3.48e-2)"	"unprognostic (2.94e-1)"	"unprognostic (5.10e-2)"	"unprognostic (2.02e-1)"	"unprognostic (9.64e-2)"	"prognostic unfavorable (9.73e-5)"	"unprognostic (2.05e-3)"	"unprognostic (1.10e-1)"	"unprognostic (2.29e-1)"	"unprognostic (1.42e-1)"
MUC16	"CA-125, CA125, FLJ14303"	ENSG00000181143	"Mucin 16, cell surface associated"	Q8WXI7	19	8848844-8981342	"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"adipose tissue: 7.0;cervix: 15.4;fallopian tube: 5.7;salivary gland: 5.9"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 157.5;Club cells: 88.3;Glandular and luminal cells: 170.2;Ionocytes: 224.9;Mesothelial cells: 429.4;Salivary duct cells: 117.9"	"Cancer enriched"	"Detected in many"	4	"ovarian cancer: 21.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"ovarian cancer: 15.7"	"Adipose visceral - Mesothelial cells, Lung - Respiratory ciliated cells, Prostate - Urothelial cells, Testis - Late spermatids, Thyroid - T-cells"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in single"		"cerebellum: 1.3"	"CAB055172, HPA065600, CAB080360"	Enhanced				"Secreted in other tissues"	"No annotated function"	NA	NA		25000		"Cluster 62: Connective tissue - ECM organization"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 35: Respiratory epithelial cells - Unknown function"				"CAB055172: AB_2148831, CAB080360: , HPA065600: AB_2732736"	"unprognostic (8.66e-2)"	"unprognostic (3.89e-2)"	"unprognostic (5.37e-2)"	"unprognostic (3.07e-1)"	"unprognostic (1.76e-2)"	"unprognostic (3.01e-3)"	"unprognostic (3.83e-3)"	"unprognostic (1.31e-2)"	"unprognostic (1.00e-2)"	"unprognostic (1.86e-1)"	"unprognostic (1.89e-3)"	"unprognostic (1.81e-1)"	"unprognostic (2.60e-8)"	"unprognostic (3.50e-2)"	"unprognostic (2.86e-1)"	"unprognostic (1.43e-1)"	"unprognostic (3.68e-3)"
MUC20	"FLJ14408, KIAA1359"	ENSG00000176945	"Mucin 20, cell surface associated"	Q8N307	3	195720884-195741123	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Club cells: 44.7;Distal enterocytes: 52.8;Ductal cells: 72.1;Ionocytes: 50.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 16.8"		"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			HPA042249			Approved	"Nucleoplasm,Plasma membrane,Cytosol"	"Secreted to extracellular matrix"	"No annotated function"	NA	NA		170000		"Cluster 52: Kidney - Transmembrane transport"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 35: Respiratory epithelial cells - Unknown function"		"Nucleoplasm, Cytosol"	"Plasma membrane"	"HPA042249: "	"unprognostic (1.85e-1)"	"unprognostic (4.64e-2)"	"unprognostic (1.05e-2)"	"unprognostic (1.83e-3)"	"unprognostic (2.12e-1)"	"unprognostic (1.59e-2)"	"unprognostic (2.06e-1)"	"unprognostic (2.41e-1)"	"unprognostic (3.99e-4)"	"unprognostic (7.66e-2)"	"unprognostic (2.84e-2)"	"unprognostic (1.14e-1)"	"prognostic favorable (1.57e-4)"	"unprognostic (2.05e-1)"	"unprognostic (2.56e-1)"	"unprognostic (3.98e-3)"	"unprognostic (1.17e-1)"
MUC4		ENSG00000145113	"Mucin 4, cell surface associated"	Q99102	3	195746765-195811973	"Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 18.6;intestine: 30.3;prostate: 14.4;vagina: 14.6"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 85.3;Ciliated cells: 204.0;Club cells: 215.4;Distal enterocytes: 188.3;Gastric mucus-secreting cells: 144.4;Intestinal goblet cells: 131.1;Ionocytes: 305.6;Salivary duct cells: 110.2"	"Cancer enhanced"	"Detected in many"		"cervical cancer: 16.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bladder cancer: 3.4;head and neck cancer: 4.1;pancreatic cancer: 3.1"	"Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Prostate - Urothelial cells, Testis - Late spermatids"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	18	"basal ganglia: 5.4"	"HPA005895, CAB013536"	Approved				"Secreted in other tissues"	"Cell adhesion"	NA	NA				"Cluster 75: Epithelium - Extracellular exosomes"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 35: Respiratory epithelial cells - Unknown function"				"CAB013536: , HPA005895: AB_1079427"	"unprognostic (4.16e-3)"	"unprognostic (1.00e-2)"	"unprognostic (6.79e-2)"	"unprognostic (1.11e-2)"	"unprognostic (3.03e-2)"	"unprognostic (5.16e-2)"	"unprognostic (5.49e-2)"	"unprognostic (2.74e-1)"	"unprognostic (3.19e-1)"	"unprognostic (4.22e-3)"	"unprognostic (6.68e-3)"	"unprognostic (5.30e-2)"	"unprognostic (2.43e-3)"	"unprognostic (3.19e-1)"	"unprognostic (6.78e-2)"	"unprognostic (3.46e-3)"	"unprognostic (9.97e-3)"
